Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Austria,2012,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Belgium,2012,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Bulgaria,2012,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Cyprus,2012,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Czechia,2012,"I - 'susceptible, increased exposure' isolates ",43.000000000
Third-gen cephalosporins,Germany,2012,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Denmark,2012,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Estonia,2012,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Greece,2012,"I - 'susceptible, increased exposure' isolates ",13.000000000
Third-gen cephalosporins,Spain,2012,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Finland,2012,"I - 'susceptible, increased exposure' isolates ",11.000000000
Third-gen cephalosporins,France,2012,"I - 'susceptible, increased exposure' isolates ",18.000000000
Third-gen cephalosporins,Croatia,2012,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Hungary,2012,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Ireland,2012,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Iceland,2012,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2012,"I - 'susceptible, increased exposure' isolates ",12.000000000
Third-gen cephalosporins,Lithuania,2012,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Luxembourg,2012,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Latvia,2012,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Malta,2012,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Netherlands,2012,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Norway,2012,"I - 'susceptible, increased exposure' isolates ",17.000000000
Third-gen cephalosporins,Poland,2012,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Portugal,2012,"I - 'susceptible, increased exposure' isolates ",19.000000000
Third-gen cephalosporins,Romania,2012,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Sweden,2012,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Slovenia,2012,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Slovakia,2012,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,United Kingdom,2012,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Austria,2013,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Belgium,2013,"I - 'susceptible, increased exposure' isolates ",16.000000000
Third-gen cephalosporins,Bulgaria,2013,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Cyprus,2013,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Czechia,2013,"I - 'susceptible, increased exposure' isolates ",31.000000000
Third-gen cephalosporins,Germany,2013,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Denmark,2013,"I - 'susceptible, increased exposure' isolates ",7.000000000
Third-gen cephalosporins,Estonia,2013,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Greece,2013,"I - 'susceptible, increased exposure' isolates ",7.000000000
Third-gen cephalosporins,Spain,2013,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Finland,2013,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,France,2013,"I - 'susceptible, increased exposure' isolates ",32.000000000
Third-gen cephalosporins,Croatia,2013,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Hungary,2013,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Ireland,2013,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Iceland,2013,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2013,"I - 'susceptible, increased exposure' isolates ",19.000000000
Third-gen cephalosporins,Lithuania,2013,"I - 'susceptible, increased exposure' isolates ",3.000000000
